"Item_Code";"Item_Name";"Item_cls";"Section_Cls";"Group_Cls";"External_Description";"MakeOrBuy_Cls";"Supplier_Code";"Delivery_Lead_Time";"Stock_Control_Cls";"Warehouse_Code";"Location_Code";"Unit_Cls";"Safety_Stock";"Max_Stock";"Min_Stock";"Packing_Type";"Packing_Qty";"UseLot_Cls";"Production_Cls";"Manufacture_Code";"Line_Code";"Thickness";"Width";"Length";"Net_Weight";"FIFO_Cls";"Storage_Type";"Material_Type";"Titik_Bakar";"Shelf_Life_Day";"LastUpdate"
"1121079E";"ESS. CAMOMILLE BLUE (NAT)";"R";"";"11";"";"P";"600010";"60";"1";"";"";"KG";"0.41";"0";"0";"1121079E-0.1-KG";"0.1";"LI";"P";"FH";"";"0";"0";"0";"0";"F";"";"8210";"";"365";"4/5/2021 4:28:00 PM"
"1121083'I";"CARDAMON LEAF OIL EX SYNTHITE <=> 6921055I";"R";"";"11";"Incoming date";"P";"600010";"60";"1";"";"";"KG";"0.55";"0";"0";"1121083I- 0.1-KG";"0.1";"LI";"P";"FLFR";"";"0";"0";"0";"1";"F";"";"0310";"NON DG";"365";"4/6/2021 4:45:00 PM"
"1121083I";"CARDAMON LEAF OIL EX SYNTHITE <=> 6921055I";"R";"";"11";"Incoming date";"P";"600010";"60";"1";"";"";"KG";"0.55";"0";"0";"1121083I-0.1KG";"0.1";"LI";"P";"FLFR";"";"0";"0";"0";"1";"F";"";"0310";"NON DG";"365";"4/6/2021 4:45:00 PM"
"1121095U";"CHAMOMILE OIL ROMAN ITALY (NAT)";"R";"";"11";"Incoming date";"P";"600010";"60";"1";"";"";"KG";"1.65";"0";"0";"1121095U-1-KG";"1";"LI";"P";"FH";"";"0";"0";"0";"0";"F";"";"8110";"DG";"365";"4/6/2021 4:41:00 PM"
"1122002I";"CARROT SEED OIL <=> 6921040T";"R";"";"11";"";"P";"600010";"60";"1";"";"";"KG";"1";"0";"0";"1122002I-0.025-KG";"0.02";"LI";"P";"FL";"";"0";"0";"0";"0";"F";"";"0310";"";"365";"9/10/2020 5:43:00 AM"
"1123046B";"GRAPEFRUIT OIL FLORIDA WHITE";"R";"";"11";"";"P";"600010";"60";"1";"";"";"KG";"0";"0";"0";"1123046B-30-KG";"30";"LI";"P";"";"";"0";"0";"0";"1";"F";"";"0210";"";"365";"12/27/2019 3:20:00 PM"
"1123073C";"GRAPEFRUIT OIL #1816(NAT)";"R";"";"11";"INC-SBFA";"P";"600010";"60";"1";"";"";"KG";"15.8";"0";"0";"1123073C-50-KG";"50";"LI";"P";"FL";"";"0";"0";"0";"0";"F";"";"0100";"DG";"365";"4/6/2021 7:29:00 PM"
"1123083M";"GRAPEFRUIT ESSENCE OIL 3760 (NAT)";"R";"";"11";"Incoming date";"P";"600010";"60";"1";"";"";"KG";"0.5";"0";"0";"1123083M-1-KG";"1";"LI";"P";"FL";"";"0";"0";"0";"0";"F";"";"0100";"DG";"1095";"10/28/2020 6:11:00 PM"
"1123111O";"GRAPEFRUIT OIL (JUICE EXTRACT) NATURAL";"R";"";"11";"Incoming date";"P";"600010";"60";"1";"";"";"KG";"0";"0";"0";"1123111O-0.025 KG";"0.02";"LI";"P";"FL";"";"0";"0";"0";"0";"F";"";"01001";"DG";"180";"10/7/2020 2:18:00 PM"
"1123119W";"QUASSIA SE AC320239 <=> 6923051G";"R";"";"11";"Incoming date";"P";"600010";"90";"1";"";"";"KG";"3.4";"0";"0";"1123119W-1-KG";"1";"LI";"P";"FL";"";"0";"0";"0";"0";"F";"";"0210";"";"730";"6/21/2020 12:00:00 AM"
"1123125C";"GRAPEFRUIT AROMA 24010 (NAT)";"R";"";"11";"Incoming date";"P";"600010";"60";"1";"";"";"KG";"0.3";"0";"0";"1123125C-0.5-KG";"0.5";"LI";"P";"FL";"";"0";"0";"0";"0";"F";"";"0200";"DG";"730";"10/28/2020 6:11:00 PM"
"1123125C";"GRAPEFRUIT AROMA 24010 (NAT)";"R";"";"11";"Incoming date";"P";"600010";"60";"1";"";"";"KG";"0.3";"0";"0";"1123125C-15-KG";"15";"LI";"P";"FL";"";"0";"0";"0";"0";"F";"";"0200";"DG";"730";"10/28/2020 6:11:00 PM"
"1125049E";"CORIANDER OIL AT 013 (NAT) (STOP ORDER) CI 6925030N";"R";"";"11";"Incoming date";"P";"600010";"60";"1";"";"";"KG";"0";"0";"0";"1125049E-1-KG";"1";"LI";"P";"FLFR";"";"0";"0";"0";"0";"F";"";"0300";"";"545";"12/27/2019 3:20:00 PM"
"1132008T";"CINNAMON BARK OIL ENGLISH SAS (NAT) (STOP ORDER) CI 6932115V";"R";"";"11";"";"P";"600010";"60";"1";"";"";"KG";"0.1";"0";"0";"1132008T-0.1-KG";"0.1";"LI";"P";"FL";"";"0";"0";"0";"0.1";"F";"";"0300";"";"365";"1/11/2021 3:00:00 PM"
"1132164T";"SINENSAL 20% EX ORANGE (NAT)";"R";"";"11";"Incoming Date";"P";"600010";"60";"1";"";"";"KG";"0.55";"0";"0";"1132164T-0.025-KG";"0.025";"LI";"P";"FL";"";"0";"0";"0";"0";"F";"";"0100";"";"365";"2/17/2021 4:04:00 AM"
"1132166V";"CINNAMON LEAF OIL NATURAL FTNF";"R";"";"11";"";"P";"600010";"60";"1";"";"";"KG";"0.2";"0";"0";"1132166V-0.025-KG";"0.02";"LI";"P";"FL";"";"0";"0";"0";"0";"F";"";"0200";"";"365";"2/11/2021 1:02:00 PM"
"1132166V";"CINNAMON LEAF OIL NATURAL FTNF";"R";"";"11";"";"P";"600010";"60";"1";"";"";"KG";"0.2";"0";"0";"1132166V-0.1-KG";"0.1";"LI";"P";"FL";"";"0";"0";"0";"0";"F";"";"0200";"";"365";"2/11/2021 1:02:00 PM"
"1132166V";"CINNAMON LEAF OIL NATURAL FTNF";"R";"";"11";"";"P";"600010";"60";"1";"";"";"KG";"0.2";"0";"0";"1132166V-1-KG";"1";"LI";"P";"FL";"";"0";"0";"0";"0";"F";"";"0200";"";"365";"2/11/2021 1:02:00 PM"
"1134021I";"CELERY SEED (PFIC02) (NAT) (STOP ORDER) CI 6934004C";"R";"";"11";"Incoming date";"P";"600010";"60";"1";"";"";"KG";"0.095";"0";"0";"1134021I-0.1-KG";"0.1";"LI";"P";"FL";"";"0";"0";"0";"0.1";"F";"";"0300";"";"545";"1/11/2021 3:00:00 PM"
"1195060C";"ROSE OIL BULGALIA (NAT) (STOP ORDER) CI 1101138H";"R";"";"11";"INC-SBFA";"P";"600010";"60";"1";"";"";"KG";"0.41";"0";"0";"1195060C-0.5-KG";"0.5";"LI";"P";"FL";"";"0";"0";"0";"0";"F";"";"0310";"DG";"365";"11/21/2020 5:44:00 AM"
"1195061D";"LAUREL OIL AT 116 (NAT)";"R";"";"11";"Incoming date";"P";"600010";"60";"1";"";"";"KG";"0.015";"0";"0";"1195061D-0.025-KG";"0.025";"LI";"P";"FL";"";"0";"0";"0";"0.25";"F";"";"0310";"DG";"545";"1/4/2021 1:47:00 PM"
"1201000A";"METHYL P-TERT-BUTYL PHENYLACETATE <=>6974081K<=>6974131I";"R";"";"12";"Incoming date";"P";"600010";"90";"1";"";"";"KG";"9.7";"0";"0";"1201000A-10-KG";"10";"LI";"P";"FL";"";"0";"0";"0";"0";"F";"";"0310";"";"365";"7/18/2020 2:42:00 AM"
"1201055C";"3,5-DIMETHYL-1,2-CYCLOPENTANEDIONE";"R";"";"12";"Incoming Date";"P";"600010";"70";"1";"";"";"KG";"0.35";"0";"0";"1201055C-0.05-KG";"0.05";"LI";"P";"FL";"";"0";"0";"0";"0";"F";"";"0112";"NON DG";"365";"3/16/2021 1:21:00 PM"
"1201200R";"DELTA DECENOLACTONE";"R";"";"12";"Incoming date";"P";"600010";"60";"1";"";"";"KG";"0.01";"0";"0";"1201200R-0.025-KG";"0.025";"LI";"P";"FL";"";"0";"0";"0";"0";"F";"";"0210";"";"240";"1/20/2021 12:50:00 AM"
"1211092O";"ALCOHOL C-10 <=> 6911058G";"R";"";"12";"Incoming date";"P";"600010";"90";"1";"";"";"KG";"0.03";"0";"0";"1211092O-0.1-KG";"0.1";"LI";"P";"FL";"";"0";"0";"0";"1";"F";"";"0310";"";"730";"1/15/2021 7:18:00 PM"
"1211224Q";"ALDEHYDE C-11 UNDECYLENIC<=>6911025Z";"R";"";"12";"Incoming date";"P";"600010";"60";"1";"";"";"KG";"28.23";"0";"0";"1211224Q-5-KG";"20";"LI";"P";"FH";"";"0";"0";"0";"1";"F";"";"8310";"";"730";"4/6/2021 7:32:00 PM"
"1211236C";"AMYL CAPROATE (STOP ORDER) CI 6911060I";"R";"";"12";"";"P";"600010";"60";"1";"";"";"KG";"0";"0";"0";"1211236C-1-KG";"1";"LI";"P";"FL";"";"0";"0";"0";"0.1";"F";"";"0310";"";"730";"12/27/2019 3:20:00 PM"
"1211288C";"2-ACETYL-3.5(3.6)-DIMETHYL PYRAZINE (STOP ORDER) CI 6911089L";"R";"";"12";"Incoming date";"P";"600010";"60";"1";"";"";"KG";"0.06";"0";"0";"1211288C-0.05-KG";"0.05";"LI";"P";"FL";"";"0";"0";"0";"1";"F";"";"0310";"";"365";"3/16/2021 1:21:00 PM"
"1211290E";"ALDEHYDE C-9 (STOP ORDER) CI 6911002C";"R";"";"12";"INC-SBFA";"P";"600010";"60";"1";"";"";"KG";"0";"0";"0";"1211290E-0.5-KG";"0.5";"LI";"P";"FL";"";"0";"0";"0";"0";"F";"";"0310";"";"180";"12/27/2019 3:20:00 PM"
"1211374K";"ALDEHYDE C-110 UNDECYLIC FG (FLFR) <=> 6911123T (FLFR)";"R";"";"12";"Incoming date";"P";"600000";"90";"1";"";"";"KG";"0.04";"0";"0";"1211374K-0.1-KG";"0.1";"LI";"P";"FLFR";"";"0";"0";"0";"0";"F";"";"02100";"NON DG";"180";"3/26/2021 4:35:00 PM"
"1212112J";"ISOAMYL FORMATE <=>6912221O";"R";"";"12";"Incoming date";"P";"600010";"90";"1";"";"";"KG";"0.01";"0";"0";"1212112J-0.025-KG";"0.025";"LI";"P";"FLFR";"";"0";"0";"0";"0.025";"F";"";"0210";"DG";"180";"1/11/2021 3:03:00 PM"
"1212114L";"ISOAMYL BENZOATE EX INOUE<=> 6912029E";"R";"";"12";"Incoming date";"P";"600010";"60";"1";"";"";"KG";"0.1";"0";"0";"1212114L-0.1-KG";"0.1";"LI";"P";"FLFR";"";"0";"0";"0";"0.1";"F";"";"0310";"NON DG";"180";"4/6/2021 4:43:00 PM"
"1212116N";"ISOAMYL CAPRYLATE";"R";"";"12";"";"P";"600010";"60";"1";"";"";"KG";"0.01";"0";"0";"1212116N-0.025-KG";"0.02";"LI";"P";"FL";"";"0";"0";"0";"0";"F";"";"0310";"";"180";"4/6/2021 7:32:00 PM"
"1212132D";"ISOBUTYL PHENYLACETATE (STOP ORDER) CI 6912209C";"R";"";"12";"";"P";"600010";"90";"1";"";"";"KG";"0";"0";"0";"1212132D-1-KG";"1";"LI";"P";"FL";"";"0";"0";"0";"1";"F";"";"0310";"";"730";"12/27/2019 3:20:00 PM"
"1212140L";"ISOBUTYL ISOVALERATE (STOP ORDER) 6912201U";"R";"";"12";"";"P";"600010";"60";"1";"";"";"KG";"2.2";"0";"0";"1212140L-5-KG";"5";"LI";"P";"FLFR";"";"0";"0";"0";"0";"F";"";"0312";"DG";"730";"3/24/2021 3:33:00 PM"
"1212172R";"ISOAMYL CINNAMATE (STOP ORDER) CI 6912203W";"R";"";"12";"";"P";"600010";"60";"1";"";"";"KG";"0.15";"0";"0";"1212172R-0.05-KG";"0.05";"LI";"P";"FL";"";"0";"0";"0";"1";"F";"";"0110";"";"180";"3/16/2021 1:21:00 PM"
"1212172R";"ISOAMYL CINNAMATE (STOP ORDER) CI 6912203W";"R";"";"12";"";"P";"600010";"60";"1";"";"";"KG";"0.15";"0";"0";"1212172R-0.1-KG";"0.1";"LI";"P";"FL";"";"0";"0";"0";"1";"F";"";"0110";"";"180";"3/16/2021 1:21:00 PM"
"1212278T";"ISOPROPYL ALCOHOL <=> 6912040P";"R";"";"12";"Incoming date";"P";"600010";"70";"1";"";"";"KG";"53.5";"0";"0";"1212278T-15-KG";"15";"LI";"P";"FL";"";"0";"0";"0";"0";"F";"";"02101";"DG";"180";"4/6/2021 7:32:00 PM"
"1232362J";"3,4-DIMETHYL PHENOL D0777";"R";"";"12";"";"P";"600010";"60";"1";"";"";"KG";"0.01";"0";"0";"1232362J-0.05-KG";"0.05";"LI";"P";"FL";"";"0";"0";"0";"0";"F";"";"0310";"";"240";"2/10/2021 4:52:00 PM"
"1232385G";"JAVANOL <=> 6932059S";"R";"";"12";"";"P";"600010";"60";"1";"";"";"KG";"1";"0";"0";"1232385G-1-KG";"1";"LI";"P";"FH";"";"0";"0";"0";"0";"F";"";"8210";"";"730";"2/27/2021 3:48:00 PM"
"1232434D";"DIHYDRO ACTINIDIOLIDE D003370 (STOP ORDER) CI 6932150E";"R";"";"12";"INC-SBFA";"P";"600010";"60";"1";"";"";"KG";"1.16";"0";"0";"1232434D-0.1-KG";"0.1";"LI";"P";"FL";"";"0";"0";"0";"2.41";"F";"";"0310";"";"730";"1/4/2021 1:48:00 PM"
"1233034U";"THEASPIRANE";"R";"";"12";"Incoming date";"P";"600010";"60";"1";"";"";"KG";"0.2";"0";"0";"1233034U-0.05-KG";"0.05";"LI";"P";"FLFR";"";"0";"0";"0";"0";"F";"";"0110";"";"180";"3/6/2021 12:36:00 AM"
"1233038Y";"STYRALLYL PROPIONATE <=>6933012Y";"R";"";"12";"Incoming date";"P";"600010";"90";"1";"";"";"KG";"0.05";"0";"0";"1233038Y-0.1-KG";"0.1";"LI";"P";"FLFR";"";"0";"0";"0";"0";"F";"";"0310";"";"180";"3/4/2021 4:04:00 AM"
"1244053T";"TERPINOLENE";"R";"";"12";"";"P";"600010";"60";"1";"";"";"KG";"1";"0";"0";"1244053T-1-KG";"1";"LI";"P";"FL";"";"0";"0";"0";"1";"F";"";"0300";"DG";"730";"3/8/2021 6:52:00 PM"
"1244104S";"DELTA 2 DECENOLACTONE (STOP ORDER) CI 1201200R";"R";"";"12";"Incoming date";"P";"600010";"60";"1";"";"";"KG";"0.01";"0";"0";"1244104S-0.05-KG";"0.05";"LI";"P";"FL";"";"0";"0";"0";"0";"F";"";"0110";"";"180";"3/9/2021 9:28:00 AM"
"1244127P";"9-DECENOIC ACID";"R";"";"12";"";"P";"600010";"60";"1";"";"";"KG";"0.05";"0";"0";"1244127P-0.025-KG";"0.025";"LI";"P";"FL";"";"0";"0";"0";"0";"F";"";"0310";"";"365";"3/29/2021 6:09:00 PM"
"1244134W";"5.6.7.8-TETRAHYDROQUINOXALINE T0290 (STOP ORDER) CI 6944021N";"R";"";"12";"";"P";"600010";"60";"1";"";"";"KG";"0";"0";"0";"1244134W0.1-KG";"0.1";"LI";"P";"FL";"";"0";"0";"0";"0";"F";"";"0310";"";"730";"12/27/2019 3:20:00 PM"
"1245081W";"30% WATER TRIMETHYL AMINE";"R";"";"12";"Incoming date";"P";"600010";"90";"1";"";"";"KG";"0.8";"0";"0";"1245081W-0.4-KG";"0.4";"LI";"P";"FL";"";"0";"0";"0";"1";"F";"";"01101";"";"180";"10/23/2020 6:02:00 AM"
"1253008H";"NOOTKATONE CRYSTALS 98% EX AROMOR <=> 6953002B";"R";"";"12";"Incoming date";"P";"600010";"60";"1";"";"";"KG";"0.21";"0";"0";"1253008H-0.2-KG";"0.2";"LI";"P";"FL";"";"0";"0";"0";"0";"F";"";"0102";"NON DG";"425";"1/20/2021 12:48:00 AM"
"1255084E";"1-NONANOL EX INOUE <=>  6955007H";"R";"";"12";"Incoming date";"P";"600010";"60";"1";"";"";"KG";"0.15";"0";"0";"1255084E-0.2-KG";"0.2";"LI";"P";"FLFR";"";"0";"0";"0";"0";"F";"";"0210";"";"730";"2/11/2021 1:02:00 PM"
"1261046T";"HABANOLIDE 947303 EX FIRMENCIH <=> 6961017Q <=> 6961039M";"R";"";"12";"Incoming date";"P";"600010";"60";"1";"";"";"KG";"192";"0";"0";"1261046T-200-KG";"200";"LI";"P";"FH";"";"0";"0";"0";"0";"F";"";"8210";"";"730";"12/15/2020 2:35:00 PM"
"1261056D";"N-VALERALDEHYDE (STOP ORDER) CI 1201261A";"R";"";"12";"Incoming date";"P";"600010";"60";"1";"";"";"KG";"0.01";"0";"0";"1261056D- 0.025-KG";"0.025";"LI";"P";"FL";"";"0";"0";"0";"0";"F";"";"01101";"DG";"180";"1/15/2021 7:18:00 PM"
"1261056D";"N-VALERALDEHYDE (STOP ORDER) CI 1201261A";"R";"";"12";"Incoming date";"P";"600010";"60";"1";"";"";"KG";"0.01";"0";"0";"1261056D-0.025-KG";"0.02";"LI";"P";"FL";"";"0";"0";"0";"0";"F";"";"01101";"DG";"180";"1/15/2021 7:18:00 PM"
"1262027B";"BETA-PINENE (STOP ORDER) CI 6962033H";"R";"";"12";"";"P";"600010";"60";"1";"";"";"KG";"0";"0";"0";"1262027B-15-KG";"15";"LI";"P";"FLFR";"";"0";"0";"0";"1";"F";"";"0300";"DG";"730";"12/27/2019 3:20:00 PM"
"1262027B";"BETA-PINENE (STOP ORDER) CI 6962033H";"R";"";"12";"";"P";"600010";"60";"1";"";"";"KG";"0";"0";"0";"1262027B-5-KG";"5";"LI";"P";"FLFR";"";"0";"0";"0";"1";"F";"";"0300";"DG";"730";"12/27/2019 3:20:00 PM"
"1262081D";"BIS(2-METHYL-3-FURYL) DISULFIDE<=>6962007H<=>6962038M";"R";"";"12";"";"P";"600010";"60";"1";"";"";"KG";"0.5";"0";"0";"1262081D-0.5-KG";"0.5";"LI";"P";"FL";"";"0";"0";"0";"0";"F";"";"0110";"";"180";"2/11/2021 1:02:00 PM"
"1262083F";"PYRUVIC ACID (STOP ORDER) CI 6962013N";"R";"";"12";"";"P";"600010";"60";"1";"";"";"KG";"0.3";"0";"0";"1262083F-0.5-KG";"0.5";"LI";"P";"FL";"";"0";"0";"0";"1";"F";"";"0110";"";"730";"3/16/2021 1:21:00 PM"
"1263289E";"PHENYLACETALDEHYDE 50%R (STOP ORDER) CI 6963081E";"R";"";"12";"Incoming date";"P";"600010";"60";"1";"";"";"KG";"1.2";"0";"0";"1263289E-1-KG";"1";"LI";"P";"FL";"";"0";"0";"0";"0";"F";"";"0310";"";"180";"7/23/2020 8:41:00 PM"
"1263306V";"2-FURFURYLTHIO-3(5/6)-METHYL PYRAZINE #4021";"R";"";"12";"";"P";"600010";"60";"1";"";"";"KG";"0.01";"0";"0";"1263306V-0.025-KG";"0.025";"LI";"P";"FL";"";"0";"0";"0";"0";"F";"";"0310";"";"730";"1/4/2021 1:48:00 PM"
"1263312B";"FRESKOMENTHE";"R";"";"12";"Incoming date";"P";"600010";"60";"1";"";"";"KG";"10.51";"0";"0";"1263312B-1-KG";"1";"LI";"P";"FH";"";"0";"0";"0";"0";"F";"";"8310";"";"730";"1/4/2021 1:48:00 PM"
"1263337A";"P-TERT-BUTYLCYCLOHEXANOL (STOP ORDER) CI 6963063M";"R";"";"12";"";"P";"600010";"60";"1";"";"";"KG";"2.56";"0";"0";"1263337A-1-KG";"1";"LI";"P";"FH";"";"0";"0";"0";"0";"F";"";"8310";"";"730";"12/22/2020 3:16:00 PM"
"1263340D";"ALPHA PHELLANDRENE (NC)";"R";"";"12";"";"P";"600010";"60";"1";"";"";"KG";"0.42";"0";"0";"1263340D-0.1-KG";"0.2";"LI";"P";"FL";"";"0";"0";"0";"0";"F";"";"0310";"DG";"365";"4/5/2021 4:06:00 PM"
"1263352P";"PHYTOL W 502200 (FL)";"R";"";"12";"";"P";"600010";"60";"1";"";"";"KG";"0.1";"0";"0";"1263352P-0.1";"0.1";"LI";"P";"FN";"";"0";"0";"0";"0";"F";"";"1310";"";"365";"3/4/2021 4:09:00 AM"
"1263360X";"FRAMBINON METHYL ETHER";"R";"";"12";"Incoming date";"P";"600010";"90";"1";"";"";"KG";"1.8";"0";"0";"1263360X-1-KG";"1";"LI";"P";"FH";"";"0";"0";"0";"0";"F";"";"8310";"";"365";"1/4/2021 1:48:00 PM"
"1263362Z";"BUTYL LACTATE";"R";"";"12";"";"P";"600010";"60";"1";"";"";"KG";"0.1";"0";"0";"1263362Z-0.1-KG";"0.1";"LI";"P";"FL";"";"0";"0";"0";"0";"F";"";"0200";"";"180";"1/4/2021 1:48:00 PM"
"1264025B";"BENZYL ISOVALERATE";"R";"";"12";"";"P";"600010";"60";"1";"";"";"KG";"0.01";"0";"0";"1264025B-0.025-KG";"0.025";"LI";"P";"FL";"";"0";"0";"0";"0";"F";"";"0310";"";"180";"10/7/2020 2:18:00 PM"
"1264067R";"BENZYL PHENYLACETATE (STOP ORDER) CI 6964064O";"R";"";"12";"";"P";"600010";"60";"1";"";"";"KG";"0.05";"0";"0";"1264067R-0.1-KG";"0.1";"LI";"P";"FLFR";"";"0";"0";"0";"1";"F";"";"0310";"";"730";"1/4/2021 1:48:00 PM"
"1264109H";"CIS-3-HEXENYL 2-METHYLBUTYRATE (STOP ORDER)";"R";"";"12";"Incoming date";"P";"600010";"90";"1";"";"";"KG";"0.02";"0";"0";"1264109H-0.025-KG";"0.025";"LI";"P";"FL";"";"0";"0";"0";"0";"F";"";"0310";"";"180";"1/15/2021 7:19:00 PM"
"1264126Y";"BENZYL FORMATE (STOP ORDER) CI 6964065P";"R";"";"12";"";"P";"600010";"60";"1";"";"";"KG";"1";"0";"0";"1264126Y-1-KG";"1";"LI";"P";"FL";"";"0";"0";"0";"0";"F";"";"0310";"";"730";"3/16/2021 1:21:00 PM"
"1264143P";"HEXYL BENZOATE EX INOUE <=>  6964048Y";"R";"";"12";"Incoming date";"P";"600010";"60";"1";"";"";"KG";"0.03";"0";"0";"1264143P-0.05-KG";"0.05";"LI";"P";"FL";"";"0";"0";"0";"0";"F";"";"0210";"";"730";"1/15/2021 7:19:00 PM"
"1264206A";"HEPTANOL EX INOUE <=>  6964076A";"R";"";"12";"";"P";"600010";"60";"1";"";"";"KG";"0.18";"0";"0";"1264206A-0.1-KG";"0.1";"LI";"P";"FL";"";"0";"0";"0";"0";"F";"";"0210";"";"180";"4/5/2021 4:16:00 PM"
"1264206A";"HEPTANOL EX INOUE <=>  6964076A";"R";"";"12";"";"P";"600010";"60";"1";"";"";"KG";"0.18";"0";"0";"1264206A-1-KG";"1";"LI";"P";"FL";"";"0";"0";"0";"0";"F";"";"0210";"";"180";"4/5/2021 4:16:00 PM"
"1264217L";"TRANS-2,TRANS-4-HEXADIENAL";"R";"";"12";"";"P";"600010";"60";"1";"";"";"KG";"0.005";"0";"0";"1264217L-0.05 -KG";"0.05";"LI";"P";"FLFR";"";"0";"0";"0";"0";"F";"";"0110";"DG";"240";"11/9/2020 3:34:00 PM"
"1264250S";"2-PENTYL FURAN <=> 6964107F<=>6964120S";"R";"";"12";"";"P";"600010";"90";"1";"";"";"KG";"0.008";"0";"0";"1264250S-0.025-KG";"0.025";"LI";"P";"FL";"";"0";"0";"0";"0";"F";"";"0110";"DG";"180";"2/11/2021 1:02:00 PM"
"1264255X";"HEXANE-2,3-DIONE";"R";"";"12";"";"P";"600010";"60";"1";"";"";"KG";"0.05";"0";"0";"1264255X-0.1 KG";"0.1";"LI";"P";"FL";"";"0";"0";"0";"0";"F";"";"0310";"";"365";"2/27/2021 3:49:00 PM"
"1264269L";"HEXYL ISO-BUTYRATE <=> 6964072W";"R";"";"12";"Incoming date";"P";"600010";"90";"1";"";"";"KG";"0.03";"0";"0";"1264269L-0.1-KG";"0.1";"LI";"P";"FH";"";"0";"0";"0";"0";"F";"";"0310";"";"180";"2/26/2021 6:29:00 PM"
"1274136N";"2-METHYL-3(6)-METHYLTHIOPYRAZINE (STOP ORDER) CI 6974072B";"R";"";"12";"";"P";"600010";"60";"1";"";"";"KG";"0.1";"0";"0";"1274136N-0.1-KG";"0.1";"LI";"P";"FL";"";"0";"0";"0";"0.1";"F";"";"0310";"";"730";"4/5/2021 7:28:00 PM"
"1274138P";"METHYL OCTYL KETONE (STOP ORDER) CI 6974049E";"R";"";"12";"";"P";"600010";"60";"1";"";"";"KG";"0.09";"0";"0";"1274138P-0.1-KG";"0.1";"LI";"P";"FL";"";"0";"0";"0";"0";"F";"";"0310";"";"180";"10/13/2020 1:31:00 PM"
"1274180F";"METHYL OXYCYCLOSULFIDE 719 (STOP ORDER) CI 6974091U";"R";"";"12";"";"P";"600010";"60";"1";"";"";"KG";"0.015";"0";"0";"1274180F-0.1-KG";"0.1";"LI";"P";"FL";"";"0";"0";"0";"1";"F";"";"0110";"";"730";"1/4/2021 1:48:00 PM"
"1274228B";"METHYL LINOLEATE";"R";"";"12";"";"P";"600010";"90";"1";"";"";"KG";"0.1";"0";"0";"1274228B-0.025-KG";"0.025";"LI";"P";"FL";"";"0";"0";"0";"0.05";"F";"";"0310";"";"180";"1/11/2021 3:07:00 PM"
"1274255C";"4-METHYLTHIAZOLE";"R";"";"12";"Incoming date";"P";"600010";"60";"1";"";"";"KG";"0.01";"0";"0";"1274255C-0.020-KG";"0.02";"LI";"P";"FL";"";"0";"0";"0";"0";"F";"";"0110";"DG";"365";"9/10/2020 3:57:00 AM"
"1274324U";"3-MERCAPTOHEXYL ACETATE (STOP ORDER) CI 6974095Y";"R";"";"12";"";"P";"600010";"60";"1";"";"";"KG";"0";"0";"0";"1274324U-0.05-KG";"0.05";"LI";"P";"FL";"";"0";"0";"0";"0";"F";"";"0310";"";"180";"6/28/2020 12:00:00 AM"
"1274338I";"3-MERCAPTOHEXANOL <=> 6974110N";"R";"";"12";"Incoming date";"P";"600010";"60";"1";"";"";"KG";"0.01";"0";"0";"1274338I-0.05-KG";"0.05";"LI";"P";"FL";"";"0";"0";"0";"0";"F";"";"0110";"NON DG";"365";"2/25/2021 8:09:00 AM"
"1274364I";"S-METHYL THIOACETATE";"R";"";"12";"Incoming date";"P";"600010";"60";"1";"";"";"KG";"0.01";"0";"0";"1274364I-0.01-KG";"0.01";"LI";"P";"FL";"";"0";"0";"0";"0";"F";"";"01101";"DG";"365";"8/25/2020 11:14:00 PM"
"1274364I";"S-METHYL THIOACETATE";"R";"";"12";"Incoming date";"P";"600010";"60";"1";"";"";"KG";"0.01";"0";"0";"1274364I-0.025-KG";"0.02";"LI";"P";"FL";"";"0";"0";"0";"0";"F";"";"01101";"DG";"365";"8/25/2020 11:14:00 PM"
"1274419K";"3-MERCAPTO-2-BUTANONE 10% Triacetin";"R";"";"12";"Incoming date";"P";"600010";"60";"1";"";"";"KG";"0.08";"0";"0";"1274419-0.05-KG";"0.05";"LI";"P";"FL";"";"0";"0";"0";"0.1";"F";"";"0010";"";"365";"3/29/2021 6:03:00 PM"
"1292013C";"L-LIMONENE";"R";"";"12";"";"P";"600010";"60";"1";"";"";"KG";"15";"0";"0";"1292013C-  0.1-KG";"0.1";"LI";"P";"FL";"";"0";"0";"0";"0";"F";"";"0310";"DG";"730";"2/21/2021 4:48:00 PM"
"1293002D";"RHUBOFIX 978880";"R";"";"12";"Incoming date";"P";"600010";"60";"1";"";"";"KG";"0.95";"0";"0";"1293002D-0.1-KG";"0.1";"LI";"P";"FH";"";"0";"0";"0";"0";"F";"";"8310";"";"665";"3/15/2021 3:46:00 PM"
"1293002D";"RHUBOFIX 978880";"R";"";"12";"Incoming date";"P";"600010";"60";"1";"";"";"KG";"0.95";"0";"0";"1293002D-1-KG";"1";"LI";"P";"FH";"";"0";"0";"0";"0";"F";"";"8310";"";"665";"3/15/2021 3:46:00 PM"
"1563000A";"BLACK TEA TINCTURE S105";"R";"";"15";"SLRS";"P";"600010";"90";"1";"";"";"KG";"0";"0";"0";"1563000A-483-KG";"483";"LI";"P";"FL";"";"0";"0";"0";"0";"F";"";"0110";"";"365";"3/26/2021 11:41:00 AM"
